epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,140.834,0.52795,0.388,0.82884,0.96289,0.94994,0.9851,0.8603,0.48905,0.37498,0.74252,0.002377,0.002377,0.002377
79,142.613,0.54684,0.40553,0.83933,0.96501,0.95047,0.98523,0.8723,0.55167,0.37215,0.74436,0.002278,0.002278,0.002278
80,144.289,0.53356,0.39091,0.83271,0.97863,0.96644,0.98597,0.87848,0.45151,0.33715,0.74467,0.002179,0.002179,0.002179
81,145.969,0.49974,0.37096,0.8206,0.98877,0.96539,0.98649,0.892,0.44769,0.33152,0.74645,0.00208,0.00208,0.00208
82,147.533,0.48703,0.37811,0.8312,0.99255,0.95901,0.9862,0.87849,0.49264,0.34802,0.75802,0.001981,0.001981,0.001981
83,149.203,0.50828,0.3755,0.82379,0.9912,0.95639,0.98642,0.8801,0.47801,0.35579,0.73715,0.001882,0.001882,0.001882
84,151.032,0.47565,0.35686,0.82319,0.97723,0.95494,0.98603,0.89814,0.45682,0.34174,0.73545,0.001783,0.001783,0.001783
85,152.815,0.46537,0.34615,0.82769,0.98893,0.95494,0.98344,0.88268,0.46456,0.3634,0.74168,0.001684,0.001684,0.001684
86,154.439,0.49876,0.37118,0.81917,0.98898,0.97338,0.98315,0.87778,0.45959,0.35768,0.73917,0.001585,0.001585,0.001585
87,156.094,0.4712,0.35591,0.82878,0.99427,0.97533,0.98498,0.88544,0.47371,0.35014,0.73667,0.001486,0.001486,0.001486
88,157.816,0.46968,0.34796,0.82713,0.98985,0.97758,0.98551,0.87734,0.47701,0.3587,0.7502,0.001387,0.001387,0.001387
89,159.615,0.45818,0.34614,0.82238,0.98746,0.9751,0.98571,0.88916,0.4607,0.3571,0.74114,0.001288,0.001288,0.001288
90,161.29,0.47651,0.35762,0.81964,0.98993,0.97488,0.98581,0.8816,0.45685,0.33303,0.74301,0.001189,0.001189,0.001189
91,179.085,0.59753,0.40971,0.755,0.98967,0.97613,0.98543,0.87277,0.4557,0.34513,0.77733,0.00109,0.00109,0.00109
92,180.602,0.56828,0.37652,0.76568,0.98786,0.97477,0.98392,0.88035,0.4615,0.34987,0.74217,0.000991,0.000991,0.000991
93,182.103,0.55293,0.36877,0.74656,0.989,0.97395,0.98396,0.87745,0.44985,0.32886,0.75106,0.000892,0.000892,0.000892
94,183.633,0.55015,0.35864,0.75033,0.99246,0.97414,0.9851,0.89002,0.43754,0.31603,0.75392,0.000793,0.000793,0.000793
95,185.391,0.54896,0.35688,0.75354,0.99242,0.97288,0.98501,0.88046,0.43632,0.33431,0.75282,0.000694,0.000694,0.000694
96,187.004,0.54799,0.3514,0.75355,0.99171,0.97338,0.98442,0.8751,0.42095,0.33559,0.73842,0.000595,0.000595,0.000595
97,188.696,0.55149,0.35234,0.75198,0.98991,0.97272,0.98288,0.88629,0.40716,0.33302,0.73637,0.000496,0.000496,0.000496
98,190.262,0.53885,0.34897,0.74891,0.99126,0.97199,0.98452,0.88508,0.40321,0.33261,0.73719,0.000397,0.000397,0.000397
99,191.776,0.5053,0.3424,0.75361,0.98644,0.97199,0.98464,0.88141,0.40935,0.32596,0.73338,0.000298,0.000298,0.000298
100,193.356,0.52836,0.34295,0.74534,0.98819,0.97199,0.98473,0.88899,0.38841,0.31626,0.73382,0.000199,0.000199,0.000199
